PositionUniqueName,Last_Name,Given_Names,Party,Phone,Email,Website,Twitter,Facebook,Instagram,LinkedIn,Youtube,ImageTitle,Withdrawn,Votes,Winner,Total_Votes,Percentage,Municipality
Cambridge,Deutschmann,Rob,OLP,,,,,,,,,,,,,,,
Cambridge,Johnson,Carla,GPO,,,,,,,,,,,,,,,
Cambridge,Knight,Marjorie,NDP,,,,,,,,,,,,,,,
Cambridge,Riddell,Brian,PC,,,,,,,,,,,,,,,
Cambridge,Karahalios,Belinda,NewBlue,,,,,,,,,,,,,,,
KitchenerCentre,Clancy,Aislinn,GPO,,,,,,,,,,,,,,,
KitchenerCentre,Elliott,Rob,PC,,,,,,,,,,,,,,,
KitchenerCentre,James,Colleen,OLP,,,,,,,,,,,,,,,
KitchenerCentre,Simoes,Paul,NewBlue,,,,,,,,,,,,,,,
KitchenerCentre,Wallis,Brooklin,NDP,,,,,,,,,,,,,,,
KitchenerConestoga,Gowing,Joe,OLP,,,,,,,,,,,,,,,
KitchenerConestoga,Harris,Mike,PC,,,,,,,,,,,,,,,
KitchenerConestoga,Karahalios,Jim,NewBlue,,,,,,,,,,,,,,,
KitchenerConestoga,Szimanski,Jodi,NDP,,,,,,,,,,,,,,,
KitchenerConestoga,Wagenaar,Brayden,GPO,,,,,,,,,,,,,,,
KitchenerSouthHespeler,Dixon,Jess,PC,,,,,,,,,,,,,,,
KitchenerSouthHespeler,Donkersgoed,Jeff,NDP,,,,,,,,,,,,,,,
KitchenerSouthHespeler,Mohamed,Ismail,OLP,,,,,,,,,,,,,,,
Waterloo,Biber,Suja,NewBlue,,,,,,,,,,,,,,,
Waterloo,Esmail,Shefaza,GPO,,,,,,,,,,,,,,,
Waterloo,Fife,Catherine,NDP,,,,,,,,,,,,,,,
Waterloo,Moore,Clayton,OLP,,,,,,,,,,,,,,,
Waterloo,Turkington,Peter,PC,,,,,,,,,,,,,,,
